"","Name","Count"
"1","Emma",39829
"2","Olivia",38884
"3","Sophia",33451
"4","Ava",32577
"5","Isabella",30296
"6","Mia",29237
"7","Charlotte",24411
"8","Abigail",24070
"9","Emily",22692
"10","Harper",21016
"11","Amelia",20540
"12","Evelyn",19412
"13","Elizabeth",19196
"14","Madison",19054
"15","Sofia",18815
"16","Avery",18063
"17","Ella",15748
"18","Chloe",15317
"19","Grace",15161
"20","Victoria",14867
"21","Scarlett",14801
"22","Aubrey",13883
"23","Zoey",13341
"24","Aria",13296
"25","Lily",13202
"26","Addison",13001
"27","Lillian",12930
"28","Riley",12830
"29","Natalie",12646
"30","Layla",12548
"31","Hannah",12374
"32","Penelope",12303
"33","Brooklyn",12213
"34","Zoe",11738
"35","Camila",11307
"36","Leah",10986
"37","Audrey",10930
"38","Nora",10875
"39","Alexa",10809
"40","Savannah",10773
"41","Skylar",10370
"42","Samantha",10255
"43","Allison",10104
"44","Claire",10013
"45","Paisley",9908
"46","Ellie",9900
"47","Anna",9868
"48","Stella",9698
"49","Violet",9642
"50","Mila",9526
"51","Eleanor",9524
"52","Ariana",9521
"53","Aaliyah",9461
"54","Lucy",9106
"55","Sadie",9005
"56","Hazel",8922
"57","Sarah",8885
"58","Kennedy",8825
"59","Gabriella",8821
"60","Caroline",8732
"61","Madelyn",8686
"62","Genesis",8482
"63","Arianna",8388
"64","Kaylee",8176
"65","Maya",8170
"66","Hailey",8154
"67","Autumn",8098
"68","Piper",8048
"69","Serenity",7755
"70","Nevaeh",7735
"71","Aurora",7595
"72","Kylie",7545
"73","Eva",7533
"74","Naomi",7522
"75","Bella",7419
"76","Peyton",7377
"77","Ruby",7250
"78","Mackenzie",7240
"79","Alice",7081
"80","Lydia",7081
"81","Aubree",7012
"82","Taylor",7002
"83","Melanie",6963
"84","Cora",6747
"85","Quinn",6725
"86","Katherine",6701
"87","Julia",6679
"88","Madeline",6584
"89","Brianna",6540
"90","Adeline",6506
"91","Ashley",6443
"92","Luna",6441
"93","Gianna",6379
"94","Faith",6340
"95","Vivian",6321
"96","Annabelle",6236
"97","Isabelle",6221
"98","Eliana",6158
"99","Reagan",6128
"100","Kinsley",6124
"101","Clara",6113
"102","Alexis",6068
"103","Elena",6054
"104","Alyssa",5904
"105","Willow",5879
"106","Hadley",5841
"107","Alexandra",5829
"108","Sophie",5782
"109","Valentina",5653
"110","Rylee",5625
"111","Maria",5607
"112","Bailey",5522
"113","Khloe",5513
"114","Natalia",5505
"115","Delilah",5436
"116","Jasmine",5418
"117","Ivy",5295
"118","Ximena",5271
"119","Josephine",5261
"120","London",5248
"121","Jade",5244
"122","Emilia",5234
"123","Adalynn",5199
"124","Everly",5197
"125","Kayla",5186
"126","Brielle",5181
"127","Liliana",5180
"128","Andrea",5175
"129","Kimberly",5157
"130","Mary",5107
"131","Morgan",4999
"132","Lauren",4997
"133","Sydney",4962
"134","Emery",4825
"135","Isla",4774
"136","Trinity",4718
"137","Adalyn",4628
"138","Jocelyn",4535
"139","Ariel",4516
"140","Lyla",4475
"141","Jordyn",4460
"142","Lilly",4429
"143","Paige",4328
"144","Margaret",4305
"145","Melody",4301
"146","Isabel",4256
"147","Molly",4226
"148","Athena",4208
"149","Makayla",4166
"150","Eden",4128
"151","Mckenzie",4106
"152","Mya",4098
"153","Nicole",4049
"154","Norah",4042
"155","Valeria",4008
"156","Brooke",4002
"157","Mariah",4002
"158","Sara",3995
"159","Aliyah",3957
"160","Rose",3954
"161","Payton",3899
"162","Kendall",3885
"163","Amy",3865
"164","Juliana",3845
"165","Londyn",3829
"166","Valerie",3826
"167","Laila",3821
"168","Angelina",3806
"169","Nova",3790
"170","Rachel",3776
"171","Raelynn",3768
"172","Leilani",3753
"173","Elise",3746
"174","Gracie",3745
"175","Emerson",3736
"176","Eliza",3679
"177","Alina",3669
"178","Reese",3668
"179","Cecilia",3590
"180","Alaina",3577
"181","Ryleigh",3532
"182","Brooklynn",3531
"183","Arya",3529
"184","Genevieve",3494
"185","Daisy",3480
"186","Teagan",3469
"187","Catherine",3459
"188","Harmony",3448
"189","Esther",3403
"190","Arabella",3397
"191","Vanessa",3380
"192","Adelyn",3336
"193","Finley",3320
"194","Presley",3315
"195","Charlie",3308
"196","Daniela",3304
"197","Julianna",3303
"198","Destiny",3285
"199","Rebecca",3281
"200","Hayden",3277
"201","Summer",3268
"202","Michelle",3258
"203","Iris",3235
"204","Adriana",3212
"205","Callie",3208
"206","Lila",3199
"207","Anastasia",3193
"208","Alana",3180
"209","Amaya",3096
"210","Juliette",3095
"211","Fiona",3039
"212","Gabrielle",3007
